day,treatment,RLU
0,Media,1892019.544
0,BW Media,1526695.807
0,SF Media,1689864.129
1,Media,10720885.16
1,BW Media,14211121.73
1,SF Media,9154843.025
2,Media,38799799.74
2,BW Media,131754885.4
2,SF Media,111023269
3,Media,43797567.18
3,BW Media,293301812.1
3,SF Media,127332213.7
